,V1v,V1d,V2v,V2d,V3v,V3d,hV4,EBA,FBA-1,FBA-2,mTL-bodies,OFA,FFA-1,FFA-2,mTL-faces,aTL-faces,OPA,PPA,RSC,OWFA,VWFA-1,VWFA-2,mfs-words,mTL-words,early,midventral,midlateral,midparietal,ventral,lateral,parietal,All vertices,Unknown ROI,Unknown Stream,Unknown
DINOv2+DINOvv2+dinov2_transform+ridge+2048+concat_pca,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
DINOv2l+15&16&17&18&19+dinov2_transform_V2+ridge+2048+concat_pca,0.4860759571625838,0.4446505299490447,0.4396280797300597,0.3400413131362172,0.3787525368849048,0.3317168825215578,0.4537963852946367,0.7191970363924287,0.6552836265466073,0.6843091188184316,,0.501843285783703,0.6976232893649379,0.7628110567503211,,,0.6651624051571321,0.7788922850317517,0.9304106328211686,0.3053363100432763,0.6929678686003097,0.6780279254383919,0.684609642687265,,0.3691531075884224,0.4868041803800649,0.55137025215897,0.5111188990803285,0.6983592051637166,0.7602436089343336,0.7363118176995793,0.5977098769540623,0.6396386912757757,0.3962653532693931,0.7441491063652804
DINOv2l+19&20&21+dinov2_transform_V2+ridge+2048+concat_pca,0.4445998753032643,0.4127739504112772,0.4068742203854412,0.2985159375751999,0.3414956827144021,0.3002682613648562,0.4163950178497373,0.7263622284950926,0.6508865643752713,0.702194673552199,,0.5078019435484266,0.685992629977749,0.7694281969380237,,,0.6563167165078793,0.7778456354257065,0.9300340114764,0.2910370300052861,0.7039290528482864,0.7111768006071091,0.6847259252225022,,0.329404069540356,0.4631380769678428,0.5447151269453236,0.4833342366311643,0.698959901428603,0.7661539533379578,0.7382017499284903,0.5864770634998248,0.6317276765427076,0.3554158014712423,0.7206088962452739
RetinaNet+body.layer3.0.relu_2&body.layer3.1.relu_2&body.layer3.2.relu_2&body.layer3.3.relu_2&body.layer3.4.relu_2&body.layer3.5.relu_2+imagenet_transform_alt+ridge+512+pca_concat,0.7489282949669348,0.7275236901497252,0.7150203477699816,0.6491755065524347,0.5868986177771143,0.5982321972902047,0.5010694641836215,0.5333454696090408,0.5922769081875568,0.45219756531801547,,0.49399246029545835,0.5445842836004241,0.5045100536291975,,,0.49639409442523824,0.6114846335587785,0.6904060887036993,0.3961225287081671,0.4775838966032614,0.3428132360258769,0.47304602119350636,,0.5908393729246239,0.5194993039945606,0.4696579751218073,0.5341472587892904,0.5432358821905545,0.5260189300027731,0.4850859938819592,0.5412733096079578,0.48719176867400327,0.607774027398656,0.5391707430079418
RetinaNet+body.layer3.0.relu_2+imagenet_transform_alt+ridge+2048+concat_pca,0.7140772284075765,0.6921541189208437,0.6679552817613029,0.6146016665095015,0.5496878314215368,0.546315707389678,0.4683173746129253,0.4253231771016763,0.5095275914177364,0.3679909034151581,,0.4469746532449775,0.4342409666197662,0.4265245623853058,,,0.3962025198994117,0.5220366986963857,0.6508429615455502,0.3683507707640798,0.3642845758498101,0.2493906307592801,0.3860182104666327,,0.5555521928520661,0.4712273600557373,0.3810902101803211,0.4483015312316898,0.4383374058490557,0.4199887947349144,0.4074011365332703,0.4583775986158102,0.410198563201189,0.5714640107412421,0.4825753010337101
RetinaNet+body.layer3.5.relu_2+imagenet_transform_alt+ridge+2048+concat_pca,0.7316863180314079,0.709263017834189,0.7035977195614873,0.6407905452382302,0.6004802715295121,0.6061661159930956,0.5312466119025081,0.5830983574388962,0.6265463628305172,0.5051188755719289,,0.5313638392832146,0.5957648917107787,0.5717938680781329,,,0.543889469128544,0.65200839294625,0.7229833130307797,0.4173359575117722,0.5295420690339883,0.4210570400125603,0.5375368817769561,,0.6011301859194272,0.5536820123450721,0.5151210139442051,0.5764382966407432,0.5910147358120343,0.5837134386020109,0.5500492440537932,0.5835518978612413,0.5446966966547919,0.6208723653338704,0.6172883164104311
ViT_GPT2+decoder.8+ViT_GPT2_transform+ridge+2048+pca_concat,0.6430942049709638,0.6063463782861627,0.6232554890397198,0.5222611322034437,0.5410801215148336,0.4621403139609286,0.48247249263172026,0.6290595968787973,0.6218338231276066,0.5579672268825032,,0.4848476502025047,0.6052518180389328,0.6081343506739494,,,0.5850687882732213,0.7014692726569708,0.8258589674128257,0.34260829564165984,0.5743428504001071,0.539996672157397,0.5561514549053419,,0.495211075958632,0.518081996943926,0.5146387663275752,0.535637515149444,0.615480463172088,0.6457678303602001,0.5624493638236081,0.5739302482422723,0.5359412671435708,0.525863055788039,0.6099038810708424
ViT_GPT2+decoder.9+ViT_GPT2_transform+ridge+2048+pca_concat,0.619912874094503,0.5809201253814928,0.6031787294581311,0.4912145231906282,0.523056473221059,0.44271672582149557,0.4674182283234217,0.6403392850881967,0.6089336855090108,0.5569056346659783,,0.46856623625002236,0.6090098229652832,0.620911344008584,,,0.5940542300508215,0.704932247912122,0.8272695626206269,0.3277536122168601,0.564429453044733,0.5528503873402417,0.5552532544915134,,0.47225814491464746,0.5059948364515094,0.5189091805072473,0.5292654909516863,0.6154417605743406,0.6622837184638114,0.568618441844166,0.5701037022772167,0.5350328115288902,0.5030243813741941,0.5855085528013435
dino_res50+layer1.2.relu&layer2.3.relu&layer3.5.relu&layer4.2.relu&avgpool+dino_resnet50_preprocess+ridge+512+pca_concat,0.7662673020868331,0.725225565774013,0.6945097801897011,0.6096818635724973,0.5856521882521705,0.5512642486099631,0.48766200100420054,0.5686132347617345,0.6091441544999933,0.4465984967621949,,0.5166359613674358,0.557665891775046,0.5442671088746484,,,0.507484344801229,0.6247332239565311,0.7437092101965951,0.4217710510791448,0.45455505026125353,0.4503917035042637,0.4632402397562496,,0.5710127901059067,0.509305126099769,0.49274175199324405,0.5127364815170933,0.548648700677056,0.5760821226405279,0.4781243583296713,0.5464035211827849,0.47704529826633796,0.5946693752611663,0.579038325234041
dino_res50+layer2.3.relu+dino_resnet50_preprocess+ridge+2048+concat_pca,0.758407365315966,0.7392568374744158,0.6594222780904556,0.5981054635793702,0.5307705672331899,0.5046362827037936,0.3725887511087021,0.2854175862498627,0.3796431229811725,0.2013310847412167,,0.3347756376592886,0.2891830609153213,0.2643451344341407,,,0.2907660509510639,0.3403643010630363,0.4638118822716047,0.2942629143877959,0.1827973712626199,0.168458074069177,0.212425227066465,,0.5345642961448769,0.3509456480105463,0.2786806275268984,0.344658271189483,0.2834907593850549,0.2778478004478723,0.2779531483115446,0.3260678288102248,0.272216472345813,0.5047137276610179,0.3283152642007518
