,V1v,V1d,V2v,V2d,V3v,V3d,hV4,EBA,FBA-1,FBA-2,mTL-bodies,OFA,FFA-1,FFA-2,mTL-faces,aTL-faces,OPA,PPA,RSC,OWFA,VWFA-1,VWFA-2,mfs-words,mTL-words,early,midventral,midlateral,midparietal,ventral,lateral,parietal,All vertices,Unknown ROI,Unknown Stream,Unknown
DINOv2+DINOv2+dinov2_transform+ridge,0.1747377387662921,0.1545569423131922,0.1643053730932051,0.1807856814175329,0.1793753323135522,0.2183658686623236,0.2831071626354037,0.5846820910624678,0.5455402682972513,0.6554252531240274,,0.2716378484975945,0.6255174206164937,0.7030376749509838,,,0.5223392708669681,0.6567369482163876,0.7365808872331029,0.168914320207127,0.4729372710422557,0.4555036969925828,0.4499348142552705,,0.1814646045065381,0.2438393050839983,0.3111026879492093,0.3838906672814917,0.5591265766644488,0.5858939287583063,0.4847803270322572,0.4314687601652265,0.4648765254157936,0.1996422889977265,0.6190943005062878
RetinaNet+body.layer3.0.relu_2+imagenet_transform_alt+ridge,0.6500849827803787,0.6663358116855557,0.6631288651164161,0.679971054075612,0.6361242915703607,0.5943019101991709,0.5287636363880477,0.3963407407120611,0.4223141019283504,0.4496672144264737,,0.4403567228036135,0.4624327289967616,0.484550285438849,,,0.4480836880514286,0.5015751453934238,0.6142745334863904,0.4782491785503597,0.3056467070716754,0.3025025447765992,0.2532599666649252,,0.608043574133821,0.5317406425433563,0.4726904268731135,0.4650605140468761,0.4258168355030702,0.3951633488160653,0.3689184366727668,0.4598441156550591,0.3880030648622007,0.6031097142026145,0.4676302015162532
RetinaNet+body.layer3.1.relu+imagenet_transform_alt+ridge,0.6411031404278134,0.6547119583899871,0.6540995228559342,0.6708887053678971,0.627110229202995,0.5920343673045705,0.5325852607398542,0.3996793195541577,0.4284571659593224,0.4579916194922311,,0.4413081755150315,0.4748200709131678,0.4860343251722341,,,0.4464899553135181,0.494404002387305,0.6121324085864984,0.4765979496822473,0.3035485267864771,0.300949441195097,0.2594502752379481,,0.6033538449995131,0.5350161835311767,0.470280794943376,0.4663748508790961,0.4269845843916602,0.3965224818533751,0.3702563579197112,0.460399192995057,0.388737500507545,0.598572483730345,0.4793363731613543
RetinaNet+body.layer3.5.relu_1+imagenet_transform_alt+ridge,0.4291098653031678,0.440771483355628,0.5304041931962161,0.5535786998300418,0.518768100494158,0.5096461557341943,0.4899500855399838,0.4872890529034231,0.4744610478066431,0.5391818424310124,,0.4216660769214062,0.5390767439362566,0.570324707589095,,,0.5147598064554256,0.5603123301806101,0.6533790850435488,0.428219578408773,0.3831359011483324,0.3533595297417239,0.2852407916832069,,0.4685287426451405,0.4585514780801739,0.4711281934902371,0.5286486035973261,0.4842320453771596,0.485130487666544,0.4296546370573872,0.478898988031769,0.4396476182727531,0.4930218896114233,0.5488808779236248
RetinaNet+body.layer3.5.relu_2+imagenet_transform_alt+ridge,0.6089166431612327,0.6390832972634184,0.6639557324105486,0.6874537437934077,0.6469085312900774,0.6150803562227862,0.5700806195800205,0.522422823905928,0.5215566595658996,0.5775424501847592,,0.4889432542450503,0.5864191733507089,0.6138205140837166,,,0.5392516940602577,0.5880721183422657,0.6758116426992284,0.5259171209437686,0.407139390064715,0.3685783117894226,0.3005424428605764,,0.6043109578503467,0.5684090877889814,0.5511197154070586,0.5546550237626954,0.5162556557658502,0.5122142169294273,0.4559662397118091,0.5381490746521851,0.4756194270058111,0.6140286880557229,0.5505842458647502
RetinaNet+body.layer4.2.relu+imagenet_transform_alt+ridge,0.3678020938522085,0.4095639316734388,0.4353896297722192,0.5093884850212519,0.428639802681344,0.4745242175369621,0.4661009513253434,0.5653167302148145,0.5262474243603945,0.6267465075910736,,0.4027204970049051,0.6261924598164352,0.6763841058786141,,,0.5462618488602583,0.6064795746835667,0.6799569662819823,0.3647906120701195,0.4250277322159641,0.3787868951281975,0.3131877118863385,,0.4062075274132948,0.412895107473668,0.4491237339362905,0.5515261078024905,0.5214731031665176,0.5598695221136779,0.4734981576719956,0.4953448812708231,0.4698593467458965,0.4423790182432283,0.5721169372458773
RetinaNet+body.layer4.2.relu_1+imagenet_transform_alt+ridge,0.3092456706609352,0.3365931912404566,0.372558150962253,0.4335520651643801,0.3704714024784881,0.4286596095501211,0.4354807052472597,0.5729000994384742,0.5293379218857619,0.6465395853977943,,0.3678110503731761,0.6335468763088834,0.684872796188271,,,0.5304378269518614,0.615322273585722,0.695416321649925,0.3123123899210744,0.427197050408762,0.3883498069472241,0.3339158426199287,,0.3641239540227893,0.3786564979945259,0.414077917633133,0.5275465287083072,0.5253435027011505,0.5687474769420129,0.4710988260306408,0.4798744064223165,0.4635057086702395,0.3956199228681633,0.597299784008705
RetinaNet+body.layer4.2.relu_2+imagenet_transform_alt+ridge,0.3937708081462068,0.4435274995092555,0.4653778396033824,0.5366906931728419,0.4670973777849042,0.5016226765530958,0.4983351345930647,0.5782650557018635,0.5661425828491744,0.6477720984099234,,0.4271062972761914,0.6483560927092977,0.6855142424855439,,,0.5563354003310037,0.636436468390873,0.7119346469433466,0.3835997458328651,0.4502899889552155,0.4154243172430527,0.3675387975798055,,0.4470114708745206,0.4514247828117563,0.4717943067698665,0.5617542891948956,0.5542304579995684,0.5749223418848649,0.4935979848524052,0.5227950072700287,0.4980712103211457,0.4821555347539197,0.620554162679325
ZFNet+features.stage2.unit1.activ+imagenet_V2_transform+ridge,0.6428744649844648,0.6473255060823321,0.5428170287931969,0.5496359160863425,0.5059837276675001,0.4765268733078566,0.4006328151903632,0.2603074136022011,0.2917010034289481,0.3218757440521059,,0.3194366002439014,0.319300418389243,0.3321707764551938,,,0.3322305366928453,0.3853110050669149,0.5003019277140984,0.3748645412091225,0.2168779936902769,0.2079968833332737,0.1871327724051995,,0.5205343015919579,0.4161259915776934,0.3513028608926109,0.3470940908107818,0.3080301136511176,0.2595721542606339,0.2525094056324661,0.3395563684950713,0.2709981473268867,0.5082434174199326,0.3603742503096798
ZFNet+features.stage2.unit1.activ+imagenet_transform_alt+linear,0.6731788656980688,0.6751811433916813,0.5526468152489936,0.5524521940004347,0.4962404865289657,0.4747329762212926,0.3369018855195027,0.191286499825038,0.2109818700375906,0.2457311298700094,,0.268792900237338,0.2314917935665699,0.2667207312453589,,,0.2479987180051199,0.2811640042811407,0.4087859264310634,0.3181606026933063,0.1483839227792272,0.1323509253768755,0.0965110381926694,,0.4979430099265183,0.3551981349857243,0.2960866148525271,0.2604420650420951,0.2120164857848586,0.1883806738079167,0.1641033299730238,0.2529686828533754,0.1764382080851182,0.4623432678307481,0.2487401547043773
ZFNet+features.stage3.pool3+imagenet_V2_transform+ridge,0.421903805751196,0.4666762117358268,0.4749623102953105,0.5242552088484015,0.4477257630535555,0.4958546073380885,0.497840111305425,0.4915608925826687,0.5063682742683395,0.5775554155643711,,0.4455471646485656,0.5848413475475637,0.6096832764471443,,,0.5121299695237147,0.5903628891181145,0.6750891209154696,0.3960165821907715,0.3979515812585243,0.3598790939815409,0.3700794198406073,,0.4413506752004968,0.4529702765424133,0.446166749747841,0.5145615954942033,0.5068688916767734,0.4894540867792264,0.444871672359225,0.4791718532788334,0.4469071178021568,0.468887288009134,0.5215085534678919
ZFNet+features.stage3.pool3+imagenet_transform_alt+linear,0.3402026146706214,0.3733799444695291,0.3859034572174981,0.413076040746715,0.3404404422019275,0.369325550579145,0.3419306892404063,0.3410519962105853,0.2989537023968405,0.3854681326507415,,0.275897812606144,0.3945512737776379,0.4723913460335768,,,0.3197868150334925,0.3954993174934897,0.5005395600083615,0.2665984858265611,0.2257402714339239,0.1641905333203745,0.1763109713234179,,0.3212886656771281,0.3095635076121972,0.304966729888013,0.3446461203959558,0.3024981128932951,0.3274753859947651,0.2610721282690612,0.3118032616852701,0.2551476328804133,0.336816334805195,0.3108984070209563
