,V1v,V1d,V2v,V2d,V3v,V3d,hV4,EBA,FBA-1,FBA-2,mTL-bodies,OFA,FFA-1,FFA-2,mTL-faces,aTL-faces,OPA,PPA,RSC,OWFA,VWFA-1,VWFA-2,mfs-words,mTL-words,early,midventral,midlateral,midparietal,ventral,lateral,parietal,All vertices,Unknown ROI,Unknown Stream,Unknown
DINOv2+1+dinov2_transform+ridge,0.212052672,0.171169486,0.159616549,0.148761057,0.11307178,0.114195982,0.105995416,0.111771514,,0.115616322,,0.091268641,0.122024067,0.051429413,,,0.147221503,0.209983067,0.264068072,0.075797142,0.137936707,0.099219345,0.109253838,0.072494833,0.128180815,0.097722688,0.097365067,0.085577502,0.13093213,0.123949371,0.07568636,0.115608826,0.081129443,0.133409532,0.05991626
DINOv2+DINOv2+dinov2_transform+ridge,0.242948537,0.225980493,0.265683845,0.227055724,0.241178959,0.192028525,0.249406255,0.567407977,,0.589330279,,0.412046873,0.591737001,0.320259675,,,0.51774435,0.629149035,0.626154928,0.193287321,0.463000014,0.458217069,0.427470152,0.534667654,0.205891556,0.251402085,0.279435442,0.264229553,0.487088468,0.59790843,0.376470063,0.35323971,0.334292692,0.215302036,0.11284819
DINOv2+DINOvv2+dinov2_transform+ridge,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,,0.001,0.001,0.001,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
DINOv2l+15&16&17&18&19+dinov2_transform_V2+ridge,0.3898889806496369,0.37163743846834685,0.415426220508782,0.34252507694532086,0.38545762026827707,0.3149906698008647,0.39018929465204777,0.6283481479861206,,0.6461028303207209,,0.4983745887327916,0.6666392036307984,0.3864964193440904,,,0.6372768852716483,0.7596210090977681,0.7288224837944468,0.318559065504404,0.6077366072083437,0.5362746945046214,0.5623972978184403,0.6283789404650411,0.3325859160502959,0.38830013599568336,0.41402957367777493,0.36299045951662534,0.6007614142624269,0.6625042170899851,0.47294625095457893,0.46711794884481206,0.4350306476971263,0.34479196235229703,0.15306542892817157
DINOv2l+19&20&21+dinov2_transform_V2+ridge,0.371554981516481,0.33834062907971135,0.3816005318718936,0.3171765279818735,0.3545429759322162,0.278018469773024,0.359564956146722,0.6354490168177763,,0.6520278886370661,,0.49346037262545994,0.6732398733078532,0.3824170786394599,,,0.6412866988323938,0.7672721272040752,0.7233617271138417,0.3037641722756823,0.588074510196024,0.5593270175865521,0.5725753816673044,0.6939087567608963,0.30256828120073526,0.35949594310043415,0.3935951588300415,0.3599417709881676,0.6031698425938441,0.6699386350247187,0.49919813234031224,0.4610331018510673,0.4397713787257939,0.3151407813439643,0.14528993757062525
RetinaNet+body.layer3.0.relu_2+imagenet_transform_alt+ridge,0.65903375,0.663305103,0.654214735,0.605385865,0.58616894,0.53938682,0.468235451,0.40198608,,0.395793124,,0.405377163,0.423994161,0.227373932,,,0.453476336,0.487095319,0.469404467,0.406338668,0.470037365,0.317663679,0.32099005,0.241193341,0.51831466,0.474359696,0.423048835,0.254208279,0.407918579,0.406254515,0.24983864,0.405429854,0.267735361,0.495456085,0.06114085
RetinaNet+body.layer3.1.relu+imagenet_transform_alt+ridge,0.65699881,0.653757872,0.655029771,0.604283094,0.586513746,0.543716824,0.478709827,0.400145293,,0.397538056,,0.411607648,0.422720435,0.247363226,,,0.452430169,0.485901158,0.463152869,0.419223448,0.47878261,0.322735039,0.32602719,0.29510368,0.522750425,0.483775253,0.434422628,0.24697661,0.410015694,0.401617125,0.246839054,0.406726755,0.266290716,0.497811938,0.056588043
RetinaNet+body.layer3.5.relu_1+imagenet_transform_alt+ridge,0.582706855,0.568203875,0.608329389,0.514731095,0.5813778,0.47184026,0.475080589,0.489285422,,0.491864853,,0.441581375,0.496396938,0.288010653,,,0.551478213,0.604867673,0.517508781,0.413971602,0.540607544,0.404959659,0.425540033,0.440133968,0.478624284,0.501928647,0.464787522,0.341524562,0.504896146,0.504445401,0.360113947,0.468155168,0.36323179,0.475144662,0.093385995
RetinaNet+body.layer3.5.relu_2+imagenet_transform_alt+ridge,0.653023756,0.653295871,0.674812527,0.591275359,0.631047367,0.539527057,0.509852408,0.508644363,,0.507331775,,0.470598301,0.518581226,0.286336532,,,0.56379807,0.611908478,0.530462512,0.452331671,0.566592897,0.414366501,0.436853309,0.418968736,0.534980839,0.531800552,0.505558555,0.346728775,0.518360737,0.520602109,0.354894101,0.493596992,0.365818909,0.521988183,0.10400279
RetinaNet+body.layer4.2.relu+imagenet_transform_alt+ridge,0.456375964,0.462445565,0.500205807,0.437490869,0.494830554,0.392083785,0.421868999,0.535762069,,0.539779918,,0.458701271,0.54039595,0.348658361,,,0.55216088,0.623737454,0.550277786,0.343490928,0.560880528,0.43364796,0.436990656,0.489028595,0.409867736,0.427318805,0.427276952,0.350610475,0.522696485,0.554703654,0.387342467,0.460713162,0.382047922,0.417893168,0.093761892
