,V1v,V1d,V2v,V2d,V3v,V3d,hV4,EBA,FBA-1,FBA-2,mTL-bodies,OFA,FFA-1,FFA-2,mTL-faces,aTL-faces,OPA,PPA,RSC,OWFA,VWFA-1,VWFA-2,mfs-words,mTL-words,early,midventral,midlateral,midparietal,ventral,lateral,parietal,All vertices,Unknown ROI,Unknown Stream,Unknown
DINOv2+DINOv2,0.17473773876629212,0.1545569423131922,0.1643053730932051,0.18078568141753293,0.1793753323135522,0.21836586866232366,0.28310716263540375,0.5846820910624678,0.5455402682972513,0.6554252531240274,,0.2716378484975945,0.6255174206164937,0.7030376749509838,,,0.5223392708669681,0.6567369482163876,0.7365808872331029,0.16891432020712707,0.4729372710422557,0.45550369699258286,0.44993481425527054,,0.18146460450653812,0.2438393050839983,0.31110268794920937,0.3838906672814917,0.5591265766644488,0.5858939287583063,0.4847803270322572,0.4314687601652265,0.4648765254157936,0.19964228899772654,0.6190943005062878
RetinaNet+fpn,0.4928728441785228,0.533518619468115,0.5811453563819113,0.6152985930679965,0.5602196281437362,0.5292448194899653,0.4800944972407881,0.5122307867604394,0.4956479624809953,0.5936657314407843,,0.4075775314416371,0.5849878537442863,0.6182501345887412,,,0.5109197563266411,0.5844876994164043,0.6847789803385324,0.4482447445485424,0.3873517119394786,0.3712941594042122,0.3103218582073587,,0.51979402485304,0.4821334387628475,0.4752268043010209,0.5283674511749554,0.4975556249556155,0.5100787281302737,0.4405302732530217,0.4997909254031278,0.4519195285346502,0.5436612488321306,0.5885089582677041
ZFNet+features.stage2.unit1.activ,0.6939496930915037,0.6908214535237206,0.5888842819281281,0.5857759212957144,0.5426192461060594,0.5081672894929228,0.4017275634071314,0.2418987806984098,0.2701527072168359,0.3023030861325239,,0.3166539215868367,0.2955664295084613,0.3157350685506869,,,0.3157884075826099,0.3621023183463139,0.4912635956637899,0.3841743456508233,0.2007498162115943,0.1928362337088817,0.1528251032280553,,0.5452045989928467,0.4221174123036293,0.3523077016419399,0.3294408265507549,0.2864570195566778,0.2409628107544434,0.2296475590180149,0.3219094431117688,0.2469784962220592,0.5228424562654621,0.3353923217863285
ZFNet+features.stage2.unittt.activ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,0.1,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4623432678307481,0.2487401547043773
ZFNet+features.stage3.pool3,0.4083383514184755,0.4522682065745487,0.47076057118554,0.5098405668009491,0.4474109769597189,0.4886885405159815,0.4907709530554787,0.4829773667855179,0.5017081638064418,0.569463104792986,,0.4292616824666168,0.5799733453160902,0.6005300888890897,,,0.4887018030350816,0.5731163668609727,0.6595142963514002,0.397479509639087,0.3752656471233346,0.3391155320083715,0.3450484936367797,,0.4325897965118447,0.451044288319764,0.4398971649829033,0.4947999382770417,0.4909750552159435,0.480524001570277,0.4284494807353021,0.4661373581655976,0.4319313519825314,0.4609877341795367,0.5081258262275158
ZFNet+features.stage3.unit3.activ,0.4254037690281759,0.468252743865661,0.4729219474307217,0.5226242243493046,0.4562571147372041,0.4844070727442137,0.4767471337237046,0.4648086971825762,0.4959706417914889,0.5550683479124658,,0.4168305521591396,0.5540057695593819,0.5738492573713996,,,0.4833034706211285,0.5589190327808609,0.6517589598503422,0.3984200632185187,0.3670175320437537,0.3480319690086174,0.3300835933212901,,0.4504950009443453,0.4431893491462113,0.4350900075104102,0.4872581541084579,0.4845845953424179,0.4659158344673782,0.4194943675168677,0.4625316674662684,0.4280621533351191,0.4742873637981593,0.5140465447483838
alexnet+features.1,0.5207506378205192,0.5427863452990114,0.4091109053575081,0.4341515593489164,0.3665441560721773,0.3523275141079036,0.3072703493918599,0.1454677957011399,0.1876983478178763,0.1905823033662936,,0.2254823148791317,0.2066100133147753,0.2067737191669818,,,0.2311683862753022,0.2539692857474916,0.3457886049702801,0.2648584855405358,0.1217204086854177,0.1313070682437468,0.1168807758547187,,0.4091817416906603,0.3027136767801607,0.2401296098872445,0.2422570935163328,0.2009886718762482,0.148854439811848,0.1719671932727876,0.2316967056967259,0.1832792152747521,0.3849719733894752,0.2387719344610405
alexnet+features.10&features.11&features.12,0.4962070455404216,0.5368483154589409,0.5386632582381897,0.5807707901776201,0.5040330919031669,0.5117384769845561,0.4683407924109473,0.4246373650059294,0.4322875492500989,0.4884421404115999,,0.3879563471323708,0.4869228251167626,0.5349826507473378,,,0.4515854857355945,0.5097437220244907,0.5954713508023677,0.4066412670661606,0.3115241504640044,0.2844511124117337,0.2744344496168205,,0.4839758228816849,0.4529507606127262,0.4412277496113365,0.4585779243632273,0.4310978324546163,0.4195468057594714,0.3796667882874922,0.4400405677044177,0.3903244048871106,0.501129800722528,0.465044170237304
alexnet+features.11,0.4762590947182429,0.5192397470658534,0.5235786820390892,0.5686229430917393,0.4971545216291729,0.5035936853407406,0.4706047175533948,0.422336070524366,0.4470339752520451,0.4898619841658444,,0.3870912050781246,0.4871870206237088,0.5278094510695631,,,0.4615955166100256,0.5123094595032505,0.5950345786779488,0.4060977296527042,0.3174599859441497,0.3018521575872414,0.2867555747234722,,0.4823020852851109,0.4498094082633657,0.4399438862038197,0.4640852046961662,0.4434530070165398,0.4217576257230704,0.3928689431217582,0.4458197316218646,0.4031424602744836,0.4996661527958274,0.4767935530355183
alexnet+features.4,0.5876279112760214,0.6085154601729827,0.5495967194220878,0.57225181476903,0.5208755297486679,0.4923934590228411,0.421139766955697,0.2453176446447462,0.2756983383686973,0.2937046718136634,,0.3193278477679349,0.294605816742352,0.2992016713364303,,,0.3377560654914817,0.3830409357356853,0.4918529025737423,0.3908132686353656,0.2129222772424608,0.2121873078908505,0.1794118128428371,,0.5248450576956761,0.4292097421306076,0.3655266472082538,0.3503021334991954,0.2998299629365049,0.2476458409506659,0.2661340695962072,0.3351901264040531,0.2764430526948092,0.5103216853768757,0.3724137311981847
