,V1v,V1d,V2v,V2d,V3v,V3d,hV4,EBA,FBA-1,FBA-2,mTL-bodies,OFA,FFA-1,FFA-2,mTL-faces,aTL-faces,OPA,PPA,RSC,OWFA,VWFA-1,VWFA-2,mfs-words,mTL-words,early,midventral,midlateral,midparietal,ventral,lateral,parietal,All vertices,Unknown ROI,Unknown Stream,Unknown
DINOv2+DINOvv2+dinov2_transform+ridge+2048+concat_pca,0.1747377387662921,0.1747377387662921,0.1747377387662921,0.1747377387662921,0.1747377387662921,0.1747377387662921,0.1747377387662921,0.1747377387662921,0.1747377387662921,0.1747377387662921,,0.1747377387662921,0.1747377387662921,0.1747377387662921,,,0.1747377387662921,0.1747377387662921,0.1747377387662921,0.1747377387662921,0.1747377387662921,0.1747377387662921,0.1747377387662921,,0.1747377387662921,0.1747377387662921,0.1747377387662921,0.1747377387662921,0.1747377387662921,0.1747377387662921,0.1747377387662921,0.1747377387662921,0.1747377387662921,0.1747377387662921,0.1747377387662921
DINOv2l+15&16&17&18&19+dinov2_transform_V2+ridge+2048+concat_pca,0.3647223255833356,0.351620630085953,0.3289480183099239,0.3385905979719688,0.3070844786913298,0.310869266315638,0.4137236058130591,0.5574748032803658,0.5797764060903394,0.518409809808772,0.4889346952375449,0.5852972879307583,0.6895325545888662,0.5375032203070328,,,0.5011603100587967,0.664892667597025,0.6709044458677329,0.4747639907897416,0.512964373967052,0.4307602249466314,0.518386538996012,0.7569821817961121,0.3353811896740758,0.5158664294481081,0.5295043889467986,0.4482996724382487,0.5712528541375169,0.534839672533985,0.4444585086970701,0.4794699922726688,0.456629310244295,0.3589546121435485,0.5062082589104149
DINOv2l+19&20&21+dinov2_transform_V2+ridge+2048+concat_pca,0.3264137263434611,0.3144293251836917,0.3030473071417848,0.3133049965157096,0.2867629092184652,0.2907209096432409,0.410342985578758,0.5823240909658667,0.5884396812557136,0.531608562622484,0.4948946436127838,0.6059208039437765,0.696115066933795,0.5508898431881025,,,0.5081892182520977,0.6659188974479767,0.6892881458887827,0.4914881389879788,0.5432628774407178,0.4448032375719633,0.5384279897597567,0.9364973706906824,0.3095550412573347,0.5207716724884646,0.5514792337722578,0.4531870233464385,0.5812920630519307,0.5568698491430857,0.4668225360455527,0.4876594385723831,0.4716782243263347,0.3312349917789105,0.5345031971385372
RetinaNet+body.layer3.0.relu_2+imagenet_transform_alt+ridge+2048+concat_pca,0.5834943998625375,0.5535163889850494,0.5561711674897576,0.526094471879428,0.486053707988355,0.4217543815793337,0.3779316590543747,0.3009288542879908,0.3093238590946443,0.2400207391165346,0.2360121774808422,0.3555280666105807,0.3758091193862718,0.2706861370188091,,,0.323206348123384,0.4246489902875678,0.4051912888670135,0.3206712386813506,0.2409688804831355,0.1927699292139527,0.2727160008006276,0.1146464770212941,0.4701824974566034,0.3525296602887748,0.3483737528180024,0.3300915136174102,0.3187328642832776,0.2775337219827392,0.1852946839156085,0.3400597224483821,0.243901269200094,0.451216590442355,0.2961118747128363
RetinaNet+body.layer3.5.relu_2+imagenet_transform_alt+ridge+2048+concat_pca,0.5693294458157931,0.5726723965730058,0.5514212538571959,0.5552578113254241,0.5090784507731898,0.4518076261760421,0.4202012961561514,0.3974167525272487,0.3940294634471553,0.3262875611968768,0.3060584532063877,0.4185581148383426,0.501568060684328,0.3673558352688409,,,0.4191923405861185,0.5084341449135362,0.468529932696978,0.372000778053233,0.3227997468986828,0.2647715814452006,0.3421337915282555,0.2724294223448941,0.4985257689540683,0.4105334832607402,0.4264633724022408,0.4215907595821406,0.3970344004306488,0.3745079091442935,0.2685519917948722,0.4158061164375505,0.3191787721254821,0.4885140064612927,0.4104445271976247
alexnet+features.1+imagenet_V2_transform+ridge+2048+concat_pca,0.5189390171440715,0.4139737094700256,0.4065847499256746,0.3270819231968007,0.3139419714714032,0.2414219983743873,0.2214696629239911,0.1345051665096768,0.1545497400145562,0.0819460732027162,0.105445654656236,0.1697129628668621,0.1616271824627441,0.1164706023565588,,,0.1271190072380514,0.177820811231119,0.1516703386446875,0.1373790774326407,0.0936663237096606,0.0812932238588862,0.1051563484403811,0.0223450609798013,0.3091422070107815,0.1797754158450949,0.1678317306036021,0.1339570502585352,0.132761984797182,0.1136610427692393,0.073354348087492,0.1530691454709192,0.0961677685333783,0.2806281494367421,0.1037187604267674
alexnet+features.10&features.11&features.12+imagenet_V2_transform+ridge+2048+concat_pca,0.4793674296595528,0.4993177974020049,0.4348094376272433,0.4434851882221313,0.3969478290677988,0.3833573022626823,0.3880934200880802,0.3825174523791785,0.396535569198805,0.3207148928516677,0.3632594582111589,0.4657065216926739,0.5127341561665586,0.3851958504799639,,,0.3774862462573877,0.4793513884859069,0.4637633124185857,0.4072908889761185,0.3481097176496637,0.2790103289277716,0.3824979380985435,0.6252977002387421,0.425621125488591,0.4221220954038274,0.4136024416435986,0.3740350618435185,0.4002072816511596,0.3580306113449267,0.263620575171459,0.3912864818198291,0.3147426133144215,0.427773375825099,0.3846525545397058
dino_res50+layer2.3.relu+dino_resnet50_preprocess+ridge+2048+concat_pca,0.517629070450914,0.4572089909815202,0.4552397568975895,0.3960998734273089,0.3629068593316388,0.3113571455508682,0.268662657888836,0.1756933049306569,0.2030124418630911,0.1404862228449471,0.1575813632715325,0.2232137376231188,0.1915246843297027,0.1586541420098007,,,0.2084875757706579,0.2725967001335886,0.2674770255652273,0.202885028683101,0.1571670384134928,0.1253512912826436,0.1580164482862394,0.0719683410353472,0.3623457176067557,0.2245979203644566,0.2304131245937271,0.2100276604268948,0.204116768375501,0.1556089150653538,0.1223100525438835,0.2186300086109207,0.1598749547564569,0.3371220999319078,0.1582587543148483
dino_res50+layer4.0.relu+dino_resnet50_preprocess+ridge+2048+concat_pca,0.5483323492792432,0.5492272617481315,0.5258372956510422,0.5281174136263443,0.4856328056591753,0.4471858284644031,0.4495442394537021,0.4324533799733395,0.4320993503588914,0.3400732212073787,0.3167849174379421,0.5005718560640853,0.5495002671837173,0.3945788850566221,,,0.4376205547484686,0.5312451212099893,0.4813810794017903,0.4499873438516243,0.3838734093242857,0.2536239134973089,0.3945788850566221,0.4584925932114889,0.4955635250384219,0.4622581155507269,0.4597982964187438,0.441988156684361,0.4269993300667618,0.4040984891673065,0.2968828587427702,0.4406238444334293,0.338658650116139,0.4909496143809983,0.4378474250484712
dino_res50+layer4.1.relu+dino_resnet50_preprocess+ridge+2048+concat_pca,0.5012271220287853,0.5219099565022047,0.4854526994499254,0.4927684141576354,0.4591528393439542,0.4360110429531975,0.4378273949402034,0.4725995055656818,0.4620235617573565,0.4012934889170956,0.3896661903656264,0.5188383818121147,0.5879498868946702,0.4512772799092827,,,0.4791543021571579,0.5775225738018627,0.5563567022332907,0.4706051734889504,0.4191861913470766,0.3189365204536328,0.4334625696015936,0.9589721849757707,0.4740478284931364,0.4725262234493767,0.484122709658512,0.4743643398164034,0.4731786427700223,0.4467569028928302,0.3454832795368495,0.4608121988850277,0.3850043512048626,0.4859933018643564,0.4969580981813243
