,V1v,V1d,V2v,V2d,V3v,V3d,hV4,EBA,FBA-1,FBA-2,mTL-bodies,OFA,FFA-1,FFA-2,mTL-faces,aTL-faces,OPA,PPA,RSC,OWFA,VWFA-1,VWFA-2,mfs-words,mTL-words,early,midventral,midlateral,midparietal,ventral,lateral,parietal,All vertices,Unknown ROI,Unknown Stream,Unknown
DINOv2+DINOvv2+dinov2_transform+ridge+2048+concat_pca,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
DINOv2l+15&16&17&18&19+dinov2_transform_V2+ridge+2048+concat_pca,0.5934457636756175,0.5046741354360371,0.565885677988406,0.4397059732902918,0.5058033383247535,0.4676982572820171,0.5679409448866312,0.6754428776309129,0.6553287985213196,0.6840858933726911,,0.6663446139787527,0.706112579117206,0.7493388213657833,,,0.7414735108403191,0.826671498504071,0.7820559391754747,0.5920198081377692,0.6458505832740267,0.5713582587948494,0.708869340851625,,0.4848979558468446,0.6335690092342255,0.5959749833100179,0.6749956689130234,0.7064413326207779,0.6972876437621558,0.6411469151965843,0.6159914272048307,0.5724203862132741,0.5027565177630028,0.6945881074273964
DINOv2l+19&20&21+dinov2_transform_V2+ridge+2048+concat_pca,0.5431740362087164,0.4648899030157696,0.5199639823608095,0.4386749673686367,0.4695026896187277,0.4546742488273635,0.5580415469605418,0.6843173336993671,0.6598599446631481,0.7083957658288178,,0.6764751052367837,0.7194854660969607,0.7792285421139749,,,0.7385889802774888,0.825584208671794,0.8228936106705149,0.6007968058799265,0.6516940837201276,0.6019764195725645,0.7062206774723666,,0.4466182685596305,0.6265397437352187,0.5862195058593279,0.6482045706924127,0.7236029816834691,0.7106571863228826,0.6551417649911073,0.6173723405742526,0.5912250957139426,0.467556930032443,0.7225870703622338
RetinaNet+body.layer3.0.relu_2&body.layer3.1.relu_2&body.layer3.2.relu_2&body.layer3.3.relu_2&body.layer3.4.relu_2&body.layer3.5.relu_2+imagenet_transform_alt+ridge+512+pca_concat,0.6546965171873783,0.6012918829299712,0.6306035593560624,0.5514183400721421,0.5494014598210455,0.523374685799141,0.46142861900355264,0.46817607490745905,0.4802182516451265,0.4420311710171793,,0.4889665378903889,0.47374608693294284,0.5376551007684677,,,0.6081296849905105,0.6464651258071511,0.5908563611121231,0.4384599610371129,0.398228267851677,0.33273496820660853,0.41160227036355784,,0.5614783705956992,0.5089140628262646,0.4569733761902234,0.5839559737185878,0.5052827844018766,0.47735548483916096,0.4698282074008374,0.5177932998517722,0.42403388029648853,0.5581877041730494,0.4954614748508126
RetinaNet+body.layer3.0.relu_2+imagenet_transform_alt+ridge+2048+concat_pca,0.6303055538026329,0.5814004483782419,0.5947572562639702,0.5190748691096412,0.5086055217606549,0.4842378935254408,0.4151806069251654,0.3880471062048843,0.4135307128955958,0.3673173990882756,,0.4345993600616301,0.4086582153541817,0.4384520614917018,,,0.5170790394600111,0.5612738045005676,0.5524831833553335,0.3798138686354277,0.3326464414820865,0.2921777535380475,0.3396670453986685,,0.5246117024767232,0.4553407139333121,0.37165942728438,0.4979910119805181,0.4349791309598677,0.3919693272486497,0.3733316226172896,0.4460044116286286,0.3418029730921226,0.5193363431214039,0.3954578428348076
RetinaNet+body.layer3.5.relu_2+imagenet_transform_alt+ridge+2048+concat_pca,0.6631700419034948,0.6105749275868784,0.6375443965973017,0.5616768064371245,0.5654210679469514,0.5387277165393435,0.4941400573181771,0.5101972149360362,0.5164744645413613,0.4846588914039186,,0.5254403726484274,0.5044423012423933,0.5785354197895417,,,0.6510147411668527,0.6840277406716836,0.6103110316158632,0.472056334064207,0.4432561395501287,0.3734044605512388,0.4632439446941555,,0.5741251253293737,0.5453765160129254,0.4939873992468593,0.6243868514295644,0.5431918544067443,0.5250911346398757,0.5115589372402298,0.5521544492505568,0.4641159935956508,0.5759164526415014,0.5588439102583648
ViT_GPT2+decoder.8+ViT_GPT2_transform+ridge+2048+pca_concat,0.6385712754759831,0.5683556274959097,0.6048423306442297,0.49754525628144597,0.5271758161117666,0.5025586533195706,0.5398958945327677,0.6203051791739151,0.5864313851825088,0.5949854350758501,,0.5798097450955888,0.5952791037729073,0.6637768953304009,,,0.7329314751007217,0.78459636058087,0.7285312392821842,0.5039963139838189,0.5424640677545243,0.4584824853518504,0.5749184478163222,,0.5505455821707999,0.591758463527544,0.542819604836282,0.6755160819585777,0.6324202664186582,0.6498754941377232,0.6043895613048378,0.6027035930132845,0.5443524521209141,0.563691684267765,0.6573129041193312
ViT_GPT2+decoder.9+ViT_GPT2_transform+ridge+2048+pca_concat,0.6183272303175711,0.5504729170052035,0.5910060705278244,0.4761851753690877,0.512735651497037,0.4905886377247083,0.5325405659680806,0.6315425042395744,0.581978869613073,0.6099881695147751,,0.5799648363924447,0.6027783988935587,0.6688991803482327,,,0.7378512169114082,0.7905176612598325,0.7349047126382617,0.5015766105988009,0.5546292619167565,0.4799984599305103,0.592361197665468,,0.5356358709694018,0.5887641164745329,0.5456908405247771,0.6752645194340544,0.6386943540608426,0.6628375203189818,0.612946143671171,0.6016040203073647,0.5467132866140894,0.5498753502923379,0.6748520855546732
dino_res50+layer1.2.relu&layer2.3.relu&layer3.5.relu&layer4.2.relu&avgpool+dino_resnet50_preprocess+ridge+512+pca_concat,0.6692662443207322,0.6123930868846258,0.6115297967534259,0.5301485033528254,0.5236092082516199,0.5122701606682561,0.47765776463157794,0.5260067270752493,0.5103669481292887,0.5267640334947734,,0.5273563322491718,0.5386658531976449,0.5982369025323645,,,0.6608612126887426,0.7109268925537426,0.6704718645873822,0.474683863888869,0.4633085935716563,0.3835130072112694,0.5026536795690862,,0.5520610419472214,0.5296027262899297,0.49801251803985824,0.6167016123903508,0.5596141253673707,0.5416467657636699,0.507212173977347,0.550685135732411,0.45745823288551657,0.5604311653315086,0.5582865945277957
dino_res50+layer2.3.relu+dino_resnet50_preprocess+ridge+2048+concat_pca,0.630248145834695,0.5815370210739106,0.5441941952292658,0.4609143483153089,0.4354590273992458,0.4123696903731037,0.3114894508709219,0.2637491482255826,0.2899915446929312,0.2591430497967589,,0.3149947644837042,0.2829471800664784,0.2903256278413607,,,0.4032679575254434,0.422655003928886,0.4558410702077506,0.2688648820071435,0.2298794851802103,0.1871768153592815,0.2444849079998639,,0.4617154568335515,0.3397728196986282,0.2565824639194853,0.3687019464556716,0.3052693877153825,0.2626537249789316,0.2783665923488685,0.3289580443578585,0.2305104759905222,0.4511036204761485,0.2418991264349056
